Year,Month,n-2,n-1,n,y
2018.0,2.0,200.0,200.0,200.0,400.0
2018.0,3.0,200.0,200.0,400.0,200.0
2018.0,4.0,200.0,400.0,200.0,200.0
2018.0,5.0,400.0,200.0,200.0,200.0
2018.0,6.0,200.0,200.0,200.0,200.0
2018.0,7.0,200.0,200.0,200.0,200.0
2015.0,8.0,666.0,666.0,666.0,666.0
2015.0,9.0,666.0,666.0,666.0,766.0
2015.0,10.0,666.0,666.0,766.0,100.0
2015.0,11.0,666.0,766.0,100.0,250.0
2015.0,12.0,766.0,100.0,250.0,270.0
2016.0,1.0,100.0,250.0,270.0,450.0
2016.0,2.0,250.0,270.0,450.0,650.0
2016.0,3.0,270.0,450.0,650.0,550.0
2016.0,4.0,450.0,650.0,550.0,550.0
2016.0,5.0,650.0,550.0,550.0,400.0
2016.0,6.0,550.0,550.0,400.0,380.0
2016.0,7.0,550.0,400.0,380.0,200.0
2017.0,1.0,506.0,506.0,506.0,506.0
2017.0,2.0,506.0,506.0,506.0,506.0
2017.0,3.0,506.0,506.0,506.0,506.0
2017.0,9.0,350.0,350.0,350.0,350.0
2017.0,10.0,350.0,350.0,350.0,750.0
2017.0,11.0,350.0,350.0,750.0,750.0
2017.0,12.0,350.0,750.0,750.0,400.0
2018.0,1.0,750.0,750.0,400.0,400.0
2018.0,2.0,750.0,400.0,400.0,400.0
2018.0,3.0,400.0,400.0,400.0,400.0
2018.0,4.0,400.0,400.0,400.0,100.0
2018.0,5.0,400.0,400.0,100.0,100.0
2018.0,6.0,400.0,100.0,100.0,100.0
2018.0,7.0,100.0,100.0,100.0,100.0
2018.0,8.0,100.0,100.0,100.0,100.0
2018.0,9.0,100.0,100.0,100.0,100.0
2018.0,10.0,100.0,100.0,100.0,300.0
2018.0,11.0,100.0,100.0,300.0,150.0
2018.0,12.0,100.0,300.0,150.0,300.0
2019.0,1.0,300.0,150.0,300.0,300.0
2019.0,2.0,150.0,300.0,300.0,300.0
2019.0,3.0,300.0,300.0,300.0,300.0
2016.0,7.0,500.0,500.0,600.0,400.0
2018.0,5.0,500.0,500.0,500.0,500.0
2018.0,6.0,500.0,500.0,500.0,500.0
2018.0,7.0,500.0,500.0,500.0,500.0
2018.0,8.0,500.0,500.0,500.0,500.0
2018.0,9.0,500.0,500.0,500.0,500.0
2017.0,4.0,10.0,500.0,500.0,500.0
2017.0,5.0,500.0,500.0,500.0,500.0
2017.0,6.0,500.0,500.0,500.0,506.0
2017.0,7.0,500.0,500.0,506.0,496.0
2017.0,8.0,500.0,506.0,496.0,6.0
2017.0,9.0,506.0,496.0,6.0,6.0
2017.0,10.0,496.0,6.0,6.0,6.0
2017.0,11.0,6.0,6.0,6.0,6.0
2018.0,7.0,298.0,298.0,298.0,298.0
2018.0,8.0,298.0,298.0,298.0,298.0
2018.0,9.0,298.0,298.0,298.0,298.0
2015.0,12.0,306.0,312.0,312.0,312.0
2016.0,1.0,312.0,312.0,312.0,312.0
2016.0,2.0,312.0,312.0,312.0,312.0
2016.0,3.0,312.0,312.0,312.0,6.0
2016.0,4.0,312.0,312.0,6.0,56.0
2016.0,5.0,312.0,6.0,56.0,56.0
2016.0,6.0,6.0,56.0,56.0,106.0
2016.0,7.0,56.0,56.0,106.0,106.0
2016.0,8.0,56.0,106.0,106.0,106.0
2016.0,9.0,106.0,106.0,106.0,106.0
2016.0,10.0,106.0,106.0,106.0,50.0
2016.0,11.0,106.0,106.0,50.0,50.0
2017.0,6.0,100.0,100.0,150.0,150.0
2017.0,7.0,100.0,150.0,150.0,150.0
2017.0,8.0,150.0,150.0,150.0,150.0
2017.0,9.0,150.0,150.0,150.0,50.0
2017.0,10.0,150.0,150.0,50.0,50.0
2018.0,6.0,608.0,608.0,608.0,608.0
2018.0,7.0,608.0,608.0,608.0,608.0
2018.0,8.0,608.0,608.0,608.0,608.0
2018.0,9.0,608.0,608.0,608.0,104.0
2018.0,10.0,608.0,608.0,104.0,200.0
2017.0,12.0,200.0,200.0,200.0,700.0
