category,Year,Month,n-3,n-2,n-1,y
1337.0,2017.0,2.0,664.0,600.0,600.0,1400.0
1337.0,2017.0,3.0,600.0,600.0,1400.0,1400.0
1337.0,2017.0,4.0,600.0,1400.0,1400.0,1400.0
1337.0,2017.0,5.0,1400.0,1400.0,1400.0,1400.0
1337.0,2017.0,6.0,1400.0,1400.0,1400.0,1400.0
1337.0,2017.0,7.0,1400.0,1400.0,1400.0,1400.0
1337.0,2017.0,12.0,1606.0,1606.0,1606.0,1606.0
1337.0,2018.0,1.0,1606.0,1606.0,1606.0,1606.0
1337.0,2018.0,2.0,1606.0,1606.0,1606.0,1606.0
1337.0,2018.0,7.0,1202.0,1202.0,1202.0,1602.0
1337.0,2018.0,8.0,1202.0,1202.0,1602.0,1602.0
1337.0,2018.0,9.0,1202.0,1602.0,1602.0,1602.0
1337.0,2018.0,10.0,1602.0,1602.0,1602.0,800.0
1337.0,2018.0,11.0,1602.0,1602.0,800.0,50.0
1337.0,2018.0,12.0,1602.0,800.0,50.0,50.0
1337.0,2019.0,1.0,800.0,50.0,50.0,50.0
1337.0,2019.0,2.0,50.0,50.0,50.0,50.0
1337.0,2019.0,3.0,50.0,50.0,50.0,50.0
1337.0,2019.0,4.0,50.0,50.0,50.0,50.0
783.0,2016.0,5.0,300.0,300.0,300.0,300.0
783.0,2016.0,6.0,300.0,300.0,300.0,300.0
783.0,2016.0,7.0,300.0,300.0,300.0,300.0
783.0,2017.0,5.0,1512.0,1512.0,1512.0,1512.0
783.0,2017.0,11.0,1500.0,1500.0,1500.0,1500.0
783.0,2018.0,5.0,250.0,250.0,250.0,1358.0
783.0,2018.0,6.0,250.0,250.0,1358.0,1358.0
783.0,2018.0,7.0,250.0,1358.0,1358.0,1758.0
783.0,2018.0,8.0,1358.0,1358.0,1758.0,1508.0
783.0,2018.0,9.0,1358.0,1758.0,1508.0,1708.0
783.0,2018.0,10.0,1758.0,1508.0,1708.0,1908.0
783.0,2018.0,11.0,1508.0,1708.0,1908.0,1268.0
783.0,2018.0,12.0,1708.0,1908.0,1268.0,1468.0
783.0,2019.0,1.0,1908.0,1268.0,1468.0,1826.0
1392.0,2016.0,7.0,172.0,172.0,172.0,172.0
1392.0,2016.0,8.0,172.0,172.0,172.0,172.0
1392.0,2016.0,9.0,172.0,172.0,172.0,322.0
1392.0,2016.0,10.0,172.0,172.0,322.0,150.0
1392.0,2016.0,11.0,172.0,322.0,150.0,150.0
1392.0,2016.0,12.0,322.0,150.0,150.0,150.0
1392.0,2017.0,1.0,150.0,150.0,150.0,402.0
1392.0,2017.0,2.0,150.0,150.0,402.0,402.0
1392.0,2017.0,3.0,150.0,402.0,402.0,252.0
1392.0,2017.0,4.0,402.0,402.0,252.0,252.0
1392.0,2017.0,5.0,402.0,252.0,252.0,252.0
1392.0,2017.0,6.0,252.0,252.0,252.0,252.0
1392.0,2018.0,4.0,396.0,396.0,464.0,464.0
